data;

param num_station_locations := 10 ;
param num_demand_hotspots := 5 ;
param num_types := 3;

param budget := 500 ;

# `num_station_locations` elements
param building_cost :=  1 4
                        2 1
                        3 5
                        4 7
                        5 3
                        6 1
                        7 7
                        8 6
                        9 2
                        10 4 ;

# `num_demand_hotspots` rows, `num_types` columns
param demand : 1 2 3 :=
           1   4 9 3
           2   1 5 1
           3   2 2 6
           4   2 4 9
           5   9 1 4
;

# `num_station_locations` rows, `num_types` columns
param station_capacity : 1 2 3 :=
                1        3 6 3
                2        7 2 5   
                3        1 7 7
                4        7 2 2
                5        3 7 4
                6        9 4 0
                7        4 2 1
                8        7 7 7
                9        2 1 4
                10       6 8 5
;              

# `num_station_locations` rows, `num_demand_hotspots` columns
param distance :  1 2 3 4 5 :=
        1     4 4 6 9 4
        2     1 1 5 5 1
        3     9 2 7 2 1
        4     2 4 1 6 4
        5     1 6 6 3 6
        6     8 9 2 5 8
        7     7 5 5 2 5
        8     2 7 8 6 7
        9     5 2 0 8 3
        10    7 3 7 0 5
;
